consumer-2  | Consumidor iniciado. Bootstrap: kafka1:9092,kafka2:9093 | Tópico: dados-sensores | Grupo: grupo-consumidor | Limites: 10.0-80.0
consumer-2  | Rebalance: partições revogadas: (nenhuma)
consumer-2  | Rebalance: partições atribuídas: (nenhuma)
consumer-2  | Rebalance: partições revogadas: (nenhuma)
consumer-2  | Rebalance: partições atribuídas: TopicPartition(topic='dados-sensores', partition=0)
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-24', 'temperatura': 10.47, 'vibracao': 8.18, 'timestamp': 1759623926}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-97', 'temperatura': 67.15, 'vibracao': 6.52, 'timestamp': 1759623928}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-61', 'temperatura': 69.32, 'vibracao': 3.74, 'timestamp': 1759623930}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-26', 'temperatura': 72.84, 'vibracao': 1.03, 'timestamp': 1759623932}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-33', 'temperatura': 85.01, 'vibracao': 8.21, 'timestamp': 1759623934}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-49', 'temperatura': 67.51, 'vibracao': 5.55, 'timestamp': 1759623936}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-68', 'temperatura': 54.72, 'vibracao': 9.38, 'timestamp': 1759623938}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-5', 'temperatura': 43.63, 'vibracao': 5.97, 'timestamp': 1759623940}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-88', 'temperatura': 85.13, 'vibracao': 1.3, 'timestamp': 1759623942}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-39', 'temperatura': 25.58, 'vibracao': 9.15, 'timestamp': 1759623944}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-2', 'temperatura': 96.64, 'vibracao': 6.74, 'timestamp': 1759623946}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-10', 'temperatura': 9.86, 'vibracao': 4.87, 'timestamp': 1759623948}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-59', 'temperatura': 10.73, 'vibracao': 0.64, 'timestamp': 1759623950}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-24', 'temperatura': 31.1, 'vibracao': 4.86, 'timestamp': 1759623952}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-38', 'temperatura': 81.46, 'vibracao': 3.7, 'timestamp': 1759623954}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-44', 'temperatura': 70.32, 'vibracao': 6.39, 'timestamp': 1759623956}
consumer-2  | Recebido da partição 0: {'sensor_id': 'sensor-17', 'temperatura': 95.79, 'vibracao': 8.08, 'timestamp': 1759623958}
